Successfully ran 54750 iterations with 128 processors and 1 threads per processor in 231.385 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7086673 785572 256 11
7086697 785544 254 17
7086725 785509 253 25
7086634 785597 256 25
7086630 785596 257 29
7086601 785623 256 32
7086577 785637 257 41
7086612 785596 257 47
7086617 785588 257 50
7086591 785606 257 58
7086586 785606 257 63
7086624 785557 260 71
7086592 785583 263 74
7086465 785702 264 81
7086575 785582 272 83
7086504 785650 273 85
7086530 785621 279 82
7086510 785631 279 92
7086500 785637 281 94
7086512 785620 284 96
7086540 785586 285 101
7086508 785611 291 102
7086474 785639 293 106
7086431 785678 297 106
7086428 785681 305 98
7086420 785685 309 98
7086391 785711 313 97
7086299 785798 316 99
7086449 785638 322 103
7086342 785738 324 108
7086334 785740 327 111
7086264 785802 338 108
7086321 785738 340 113
7086350 785707 343 112
7086324 785727 344 117
7086302 785747 348 115
7086253 785795 353 111
7086289 785751 355 117
7086292 785746 358 116
7086215 785814 361 122
7086202 785819 370 121
7086199 785812 372 129
7086240 785767 380 125
7086118 785881 382 131
7086080 785917 384 131
7086195 785796 389 132
7086103 785878 394 137
7086083 785895 395 139
7086113 785855 403 141
7086079 785883 407 143
7086088 785867 413 144
7086029 785917 416 150
7086032 785911 420 149
7086030 785904 423 155
7086053 785872 424 163
7085985 785933 431 163
7086037 785873 438 164
7085982 785916 441 173
7085984 785906 452 170
7085987 785894 456 175
7085892 785987 466 167
7085879 785997 469 167
7085888 785978 473 173
7085914 785944 484 170
7085887 785967 492 166
7085833 786012 496 171
7085876 785964 497 175
7085890 785942 510 170
7085801 786029 511 171
7085851 785975 519 167
7085813 786001 529 169
7085779 786026 539 168
7085778 786016 544 174
7085804 785979 549 180
7085789 785988 553 182
7085760 786004 559 189
7085751 785996 568 197
7085739 785995 573 205
7085798 785929 579 206
7085725 785996 582 209
7085746 785968 595 203
7085730 785979 597 206
7085697 786010 605 200
7085696 785991 612 213
7085710 785967 624 211
7085658 786010 632 212
7085689 785971 632 220
7085651 785993 641 227
7085661 785978 652 221
7085675 785953 658 226
7085648 785971 668 225
7085588 786024 672 228
7085613 785988 674 237
7085632 785966 676 238
7085584 786011 688 229
7085615 785968 695 234
7085586 785990 712 224
7085523 786043 722 224
7085507 786046 731 228
7085520 786023 738 231
7085515 786013 741 243
7085512 786006 744 250
7085461 786050 750 251
7085488 786014 753 257
7085500 785993 763 256
7085439 786046 771 256
7085410 786064 781 257
7085465 785999 796 252
7085416 786034 804 258
7085383 786044 815 270
7085383 786035 826 268
7085346 786063 835 268
7085388 786010 856 258
7085349 786031 867 265
7085332 786036 875 269
7085389 785969 879 275
7085325 786020 890 277
7085329 786011 895 277
7085335 785988 907 282
7085322 785987 915 288
7085305 785991 928 288
7085313 785976 935 288
7085284 785996 937 295
7085222 786043 949 298
7085270 785983 960 299
7085254 785988 972 298
7085313 785921 983 295
7085237 785993 994 288
7085261 785953 1004 294
7085190 786008 1015 299
7085205 785984 1021 302
7085121 786060 1031 300
7085229 785942 1041 300
7085181 785983 1053 295
7085177 785972 1063 300
7085127 786017 1069 299
7085160 785977 1080 295
7085131 785989 1093 299
7085091 786014 1102 305
7085109 785985 1108 310
7085083 786007 1115 307
7085082 786001 1127 302
7085110 785963 1142 297
7085097 785972 1148 295
7085080 785977 1160 295
7085054 785990 1166 302
7085005 786027 1172 308
7085041 785980 1184 307
7084978 786034 1191 309
7085014 785990 1207 301
7085090 785899 1224 299
7085058 785918 1234 302
7085028 785940 1240 304
7085037 785917 1248 310
7085043 785895 1258 316
7085024 785895 1269 324
7085050 785860 1273 329
7085004 785886 1286 336
7084917 785959 1309 327
7084980 785884 1316 332
7084944 785907 1331 330
7084981 785865 1337 329
7084907 785923 1352 330
7084983 785834 1367 328
7084925 785878 1372 337
7084931 785858 1385 338
7084939 785848 1391 334
7084945 785829 1401 337
7084976 785785 1423 328
7084893 785861 1432 326
7084886 785849 1438 339
7084874 785842 1452 344
7084852 785845 1464 351
7084887 785802 1468 355
7084892 785775 1479 366
7084906 785751 1497 358
7084928 785721 1513 350
7084912 785729 1521 350
7084850 785779 1526 357
7084886 785736 1537 353
7084921 785688 1550 353
7084856 785734 1559 363
7084860 785717 1559 376
7084854 785716 1559 383
7084862 785702 1569 379
7084843 785707 1575 387
7084843 785681 1586 402
7084808 785698 1596 410
7084785 785708 1612 407
7084841 785632 1618 421
7084816 785639 1626 431
7084789 785652 1646 425
7084834 785588 1656 434
7084783 785630 1679 420
7084786 785610 1693 423
7084822 785556 1697 437
7084711 785663 1703 435
7084715 785647 1717 433
7084769 785582 1736 425
7084770 785563 1744 435
7084771 785540 1756 445
7084707 785596 1767 442
7084719 785578 1772 443
7084715 785571 1791 435
7084716 785551 1805 440
7084675 785575 1818 444
7084691 785546 1842 433
7084716 785510 1855 431
7084712 785494 1867 439
7084710 785486 1872 444
7084690 785496 1884 442
7084654 785526 1903 429
7084635 785534 1917 426
7084660 785500 1919 433
7084653 785499 1927 433
7084687 785455 1928 442
7084670 785465 1941 436
7084701 785427 1951 433
7084581 785532 1966 433
7084609 785494 1979 430
7084693 785393 1993 433
7084634 785448 2001 429
7084640 785416 2015 441
7084647 785400 2016 449
7084654 785377 2027 454
7084597 785418 2043 454
7084535 785473 2056 448
7084626 785370 2079 437
7084627 785357 2082 446
7084572 785393 2098 449
7084558 785393 2116 445
7084547 785376 2123 466
7084570 785344 2132 466
7084557 785340 2139 476
7084554 785331 2148 479
7084529 785342 2161 480
7084520 785327 2183 482
7084493 785340 2189 490
7084585 785240 2194 493
7084548 785270 2207 487
