Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 32.7292 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7215805 783926 256 13
7215309 784410 256 25
7214833 784873 256 38
7214281 785413 256 50
7213763 785925 260 52
7213213 786465 263 59
7212679 786990 266 65
7212137 787520 265 78
7211585 788064 265 86
7211107 788535 267 91
7210605 789030 272 93
7210085 789538 277 100
7209602 790012 282 104
7209065 790541 285 109
7208520 791073 289 118
7208016 791565 291 128
7207467 792107 297 129
7206979 792584 302 135
7206493 793062 309 136
7206004 793541 317 138
7205486 794047 327 140
7204910 794615 335 140
7204440 795079 345 136
7203901 795606 352 141
7203376 796121 359 144
7202860 796626 362 152
7202355 797124 368 153
7201820 797651 376 153
7201285 798169 381 165
7200791 798651 384 174
7200281 799153 394 172
7199778 799649 396 177
7199216 800207 399 178
7198675 800734 403 188
7198183 801211 413 193
7197706 801681 423 190
7197155 802215 434 196
7196654 802705 446 195
7196108 803242 454 196
7195606 803733 466 195
7195137 804191 474 198
7194625 804690 488 197
7194087 805213 497 203
7193583 805706 506 205
7193083 806192 514 211
7192577 806684 526 213
7192081 807166 538 215
7191549 807686 546 219
7191009 808213 560 218
7190484 808721 569 226
7190005 809179 577 239
7189517 809661 587 235
7188969 810195 592 244
7188433 810713 598 256
7187914 811216 616 254
7187353 811760 625 262
7186864 812238 641 257
7186366 812710 650 274
7185828 813232 663 277
7185354 813695 684 267
7184784 814254 700 262
7184284 814734 715 267
7183759 815243 730 268
7183232 815759 735 274
7182690 816291 748 271
7182138 816831 762 269
7181602 817353 781 264
7181066 817871 791 272
7180550 818363 801 286
7180100 818792 811 297
7179612 819261 819 308
7179049 819810 833 308
7178558 820275 860 307
7178018 820796 871 315
7177472 821325 885 318
7176997 821781 896 326
7176410 822345 910 335
7175891 822843 928 338
7175377 823335 943 345
7174841 823856 964 339
7174311 824364 983 342
7173792 824860 1001 347
7173319 825310 1013 358
7172779 825825 1031 365
7172286 826301 1047 366
7171792 826773 1069 366
7171215 827326 1090 369
7170714 827800 1110 376
7170211 828277 1130 382
7169667 828793 1147 393
7169113 829324 1167 396
7168559 829854 1182 405
7168044 830353 1208 395
7167567 830811 1228 394
7167069 831279 1242 410
7166539 831780 1261 420
7166009 832288 1289 414
7165482 832784 1312 422
7165004 833236 1338 422
7164479 833740 1357 424
7163973 834229 1374 424
7163419 834758 1395 428
7162882 835268 1417 433
7162398 835730 1441 431
7161898 836200 1466 436
7161361 836704 1488 447
7160843 837191 1509 457
7160288 837725 1522 465
7159751 838235 1552 462
7159228 838731 1567 474
7158723 839207 1595 475
7158146 839753 1624 477
7157619 840250 1649 482
7157088 840749 1677 486
7156596 841217 1702 485
7156055 841731 1720 494
7155530 842224 1742 504
7155065 842651 1773 511
7154576 843111 1792 521
7154036 843623 1827 514
7153498 844121 1853 528
7152945 844641 1880 534
7152414 845146 1894 546
7151888 845645 1922 545
7151364 846123 1951 562
7150828 846629 1981 562
7150297 847129 2006 568
7149780 847601 2027 592
7149255 848085 2064 596
7148672 848637 2094 597
7148157 849124 2126 593
7147594 849652 2167 587
7147086 850123 2196 595
7146588 850593 2227 592
7146074 851071 2257 598
7145533 851574 2292 601
7144970 852096 2320 614
7144475 852544 2363 618
7143925 853049 2397 629
7143410 853526 2429 635
7142859 854041 2461 639
7142309 854551 2485 655
7141793 855015 2514 678
7141273 855501 2542 684
7140740 856009 2576 675
7140212 856508 2613 667
7139725 856952 2653 670
7139203 857437 2691 669
7138641 857951 2722 686
7138130 858426 2756 688
7137593 858918 2793 696
7137062 859395 2828 715
7136570 859831 2869 730
7136042 860322 2898 738
7135496 860820 2946 738
