Successfully ran 14600 iterations with 128 processors and 1 threads per processor in 85.6296 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7087113 785148 251 0
7087173 785089 246 4
7087101 785160 245 6
7087073 785189 242 8
7086992 785269 239 12
7087049 785212 237 14
7087032 785234 232 14
7087011 785254 230 17
7087026 785245 226 15
7087059 785211 225 17
7087065 785205 224 18
7087097 785173 222 20
7087038 785234 219 21
7087027 785246 217 22
7086999 785275 217 21
7087018 785257 216 21
7087024 785251 217 20
7086952 785325 215 20
7086998 785281 214 19
7086948 785331 213 20
7086941 785338 211 22
7086926 785354 209 23
7086961 785318 209 24
7086911 785365 210 26
7086874 785403 209 26
7086872 785405 210 25
7086895 785383 208 26
7086828 785452 208 24
7086812 785466 209 25
7086882 785395 207 28
7086860 785418 208 26
7086798 785479 210 25
7086815 785461 211 25
7086822 785453 210 27
7086749 785526 209 28
7086747 785528 208 29
7086723 785553 207 29
7086733 785545 205 29
7086637 785642 204 29
7086655 785628 199 30
7086680 785603 199 30
7086737 785543 200 32
7086640 785638 202 32
7086599 785678 205 30
7086574 785702 205 31
7086539 785736 205 32
7086554 785720 207 31
7086560 785712 207 33
7086532 785740 208 32
7086497 785778 207 30
7086528 785748 207 29
7086479 785798 206 29
7086435 785842 208 27
7086494 785781 210 27
7086457 785823 205 27
7086452 785829 204 27
7086470 785815 201 26
7086529 785758 200 25
7086493 785792 201 26
7086420 785864 203 25
7086390 785893 205 24
7086380 785903 202 27
7086319 785960 203 30
7086398 785881 202 31
7086350 785929 201 32
7086324 785955 203 30
7086341 785940 201 30
7086326 785956 199 31
7086248 786034 199 31
7086302 785979 200 31
7086285 785999 198 30
7086275 786010 199 28
7086216 786071 200 25
7086285 786002 199 26
7086201 786086 197 28
7086218 786069 196 29
7086249 786037 196 30
7086258 786030 196 28
7086143 786146 196 27
7086175 786113 196 28
7086138 786151 195 28
7086136 786153 195 28
7086218 786070 196 28
7086216 786071 196 29
7086124 786166 195 27
7086102 786188 197 25
7086074 786216 197 25
7086106 786185 197 24
7086034 786258 196 24
7086124 786166 197 25
7086057 786232 199 24
7086066 786227 196 23
7086067 786230 191 24
7086039 786256 191 26
7086017 786280 189 26
7085997 786301 188 26
7085951 786348 187 26
7085981 786318 187 26
7085890 786409 188 25
7085889 786411 187 25
7085955 786346 185 26
7085938 786364 184 26
7085896 786407 181 28
7085921 786382 182 27
