Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 33.7671 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7215757 783971 256 16
7215227 784498 257 18
7214697 785018 258 27
7214190 785516 260 34
7213640 786058 260 42
7213148 786540 261 51
7212609 787073 263 55
7212077 787593 264 66
7211566 788098 266 70
7211055 788597 269 79
7210561 789084 276 79
7210040 789594 281 85
7209548 790082 288 82
7209041 790584 295 80
7208518 791099 300 83
7208035 791576 308 81
7207541 792061 312 86
7207046 792551 319 84
7206525 793062 320 93
7206001 793580 326 93
7205493 794076 328 103
7204949 794614 337 100
7204409 795147 340 104
7203898 795650 344 108
7203416 796119 352 113
7202864 796661 361 114
7202335 797182 365 118
7201809 797703 370 118
7201321 798184 376 119
7200791 798711 381 117
7200294 799199 385 122
7199761 799724 388 127
7199264 800211 394 131
7198741 800722 399 138
7198220 801233 409 138
7197729 801717 414 140
7197188 802251 416 145
7196700 802734 423 143
7196197 803230 430 143
7195695 803719 438 148
7195136 804268 448 148
7194655 804742 456 147
7194156 805234 466 144
7193593 805782 474 151
7193038 806320 478 164
7192597 806754 483 166
7192092 807247 490 171
7191596 807728 495 181
7191095 808222 501 182
7190579 808730 511 180
7190012 809287 523 178
7189536 809744 533 187
7189014 810254 549 183
7188465 810790 557 188
7187957 811281 567 195
7187431 811797 577 195
7186923 812290 588 199
7186398 812802 597 203
7185881 813310 609 200
7185363 813816 624 197
7184806 814369 637 188
7184347 814816 645 192
7183830 815316 657 197
7183290 815844 666 200
7182769 816345 671 215
7182259 816837 680 224
7181772 817313 694 221
7181265 817809 703 223
7180808 818250 716 226
7180269 818770 728 233
7179734 819294 742 230
7179260 819756 757 227
7178709 820295 767 229
7178240 820750 776 234
7177661 821312 787 240
7177146 821811 799 244
7176611 822336 811 242
7176144 822791 822 243
7175616 823306 832 246
7175067 823841 845 247
7174527 824363 860 250
7174002 824868 870 260
7173429 825424 882 265
7172902 825940 901 257
7172352 826468 911 269
7171854 826956 922 268
7171335 827455 932 278
7170803 827970 951 276
7170244 828513 966 277
7169757 828983 978 282
7169257 829462 989 292
7168721 829984 1004 291
7168196 830489 1018 297
7167653 831014 1028 305
7167132 831523 1042 303
7166621 832021 1058 300
7166114 832516 1071 299
7165604 833012 1085 299
7165078 833518 1098 306
7164576 833993 1106 325
7164052 834500 1124 324
7163562 834969 1137 332
7162992 835522 1155 331
7162471 836027 1173 329
7161967 836518 1185 330
7161476 836995 1200 329
7160960 837491 1218 331
7160444 837980 1229 347
7159896 838507 1248 349
7159332 839058 1263 347
7158785 839584 1275 356
7158301 840044 1291 364
7157775 840543 1304 378
7157239 841061 1324 376
7156736 841539 1344 381
7156267 841987 1372 374
7155730 842505 1392 373
7155255 842954 1402 389
7154746 843443 1418 393
7154178 843984 1436 402
7153693 844447 1456 404
7153182 844935 1475 408
7152728 845365 1492 415
7152176 845898 1519 407
7151615 846446 1540 399
7151099 846946 1564 391
7150536 847494 1580 390
7149986 848017 1605 392
7149497 848477 1627 399
7149047 848904 1640 409
7148497 849428 1655 420
7147950 849940 1682 428
7147434 850430 1700 436
7146946 850906 1716 432
7146423 851410 1740 427
7145864 851940 1761 435
7145299 852476 1784 441
7144825 852919 1802 454
7144297 853426 1827 450
7143781 853911 1841 467
7143254 854413 1861 472
7142741 854903 1887 469
7142229 855388 1903 480
7141728 855869 1926 477
7141225 856346 1953 476
7140696 856856 1970 478
7140166 857360 1994 480
7139644 857851 2020 485
7139120 858351 2039 490
7138639 858803 2074 484
7138121 859292 2098 489
7137636 859745 2120 499
7137130 860223 2143 504
7136597 860726 2170 507
7136090 861205 2195 510
7135585 861686 2225 504
7135023 862221 2254 502
7134441 862779 2280 500
7133936 863258 2305 501
7133400 863771 2327 502
7132877 864262 2348 513
7132378 864735 2372 515
7131806 865267 2403 524
7131317 865719 2434 530
7130741 866266 2452 541
7130279 866695 2480 546
7129739 867205 2507 549
7129214 867699 2535 552
7128711 868179 2559 551
7128234 868635 2586 545
7127716 869126 2620 538
7127223 869594 2644 539
7126714 870065 2671 550
7126157 870594 2702 547
7125615 871106 2736 543
7125119 871561 2756 564
7124637 872006 2793 564
7124112 872490 2824 574
7123584 872990 2853 573
7122985 873554 2889 572
7122485 874016 2914 585
7121918 874560 2941 581
7121384 875055 2968 593
7120900 875512 2987 601
7120416 875964 3016 604
7119858 876486 3037 619
7119359 876945 3068 628
7118829 877453 3098 620
7118325 877925 3121 629
7117837 878369 3155 639
7117258 878917 3191 634
7116722 879426 3220 632
7116165 879946 3249 640
7115657 880423 3275 645
7115151 880882 3314 653
7114617 881395 3350 638
7114114 881867 3382 637
7113589 882350 3414 647
7113065 882837 3445 653
7112527 883355 3479 639
7111952 883897 3512 639
7111398 884418 3544 640
7110859 884915 3579 647
7110360 885371 3604 665
7109780 885915 3644 661
7109251 886406 3678 665
7108741 886886 3706 667
7108186 887398 3745 671
7107649 887898 3778 675
7107175 888331 3811 683
7106615 888850 3844 691
7106058 889367 3874 701
7105563 889831 3901 705
7105086 890276 3944 694
7104590 890742 3977 691
7104070 891235 4016 679
7103529 891744 4063 664
7103031 892193 4081 695
7102510 892682 4108 700
7101946 893205 4148 701
7101376 893739 4187 698
7100834 894249 4220 697
7100328 894708 4261 703
7099837 895155 4290 718
7099329 895628 4322 721
7098802 896114 4361 723
7098265 896612 4399 724
7097748 897094 4439 719
7097177 897630 4480 713
7096688 898083 4512 717
7096145 898580 4545 730
7095655 899030 4585 730
7095155 899479 4629 737
7094641 899953 4672 734
7094152 900397 4709 742
7093648 900865 4747 740
7093127 901344 4786 743
7092607 901834 4825 734
7092071 902323 4877 729
7091586 902763 4919 732
7091036 903259 4960 745
7090529 903723 5002 746
7089986 904225 5047 742
7089440 904724 5095 741
7088932 905184 5131 753
7088410 905658 5175 757
7087917 906096 5222 765
7087414 906551 5270 765
7086865 907057 5306 772
7086312 907568 5355 765
7085819 908020 5393 768
7085341 908453 5434 772
7084816 908929 5480 775
7084278 909431 5517 774
7083778 909889 5558 775
7083292 910318 5601 789
7082732 910832 5636 800
7082231 911291 5679 799
7081779 911699 5716 806
7081235 912185 5751 829
7080709 912666 5791 834
7080212 913117 5831 840
7079673 913611 5871 845
7079163 914079 5907 851
7078625 914569 5946 860
7078062 915085 5995 858
7077555 915547 6044 854
7077008 916053 6081 858
7076495 916520 6129 856
7075976 916988 6172 864
7075497 917416 6218 869
7074934 917936 6260 870
7074405 918426 6306 863
7073908 918865 6340 887
7073398 919328 6379 895
7072908 919773 6432 887
7072362 920255 6482 901
7071827 920752 6535 886
7071306 921222 6586 886
7070784 921699 6625 892
7070281 922156 6669 894
7069778 922604 6706 912
7069291 923057 6747 905
7068809 923495 6781 915
7068240 924011 6833 916
7067720 924466 6879 935
7067213 924923 6928 936
7066668 925415 6984 933
7066086 925941 7028 945
7065572 926403 7079 946
7065049 926874 7132 945
7064530 927343 7180 947
7064054 927773 7223 950
7063481 928287 7262 970
7062953 928767 7310 970
7062441 929218 7340 1001
7061911 929708 7388 993
7061374 930191 7447 988
7060836 930675 7499 990
7060350 931094 7540 1016
7059892 931495 7587 1026
7059388 931953 7630 1029
7058866 932420 7670 1044
7058335 932890 7718 1057
7057838 933332 7780 1050
7057283 933838 7829 1050
7056722 934355 7870 1053
7056217 934812 7928 1043
7055731 935243 7973 1053
7055230 935694 8029 1047
7054689 936188 8078 1045
7054178 936639 8129 1054
7053629 937119 8171 1081
7053143 937553 8218 1086
7052611 938028 8278 1083
7052088 938489 8334 1089
7051552 938964 8381 1103
7051061 939403 8427 1109
7050548 939855 8481 1116
7050083 940260 8543 1114
7049529 940758 8609 1104
7049052 941177 8665 1106
7048556 941621 8723 1100
7048050 942072 8782 1096
7047508 942561 8844 1087
7046988 943009 8897 1106
7046473 943467 8958 1102
7045951 943931 9009 1109
7045401 944435 9053 1111
7044860 944915 9103 1122
7044356 945358 9162 1124
7043881 945777 9220 1122
7043386 946207 9278 1129
7042908 946626 9333 1133
7042339 947136 9386 1139
7041799 947627 9435 1139
7041269 948107 9488 1136
7040758 948557 9552 1133
7040213 949041 9611 1135
7039714 949481 9653 1152
7039154 949979 9717 1150
7038606 950475 9763 1156
7038084 950935 9820 1161
7037590 951376 9877 1157
7037063 951848 9944 1145
7036569 952279 10006 1146
7036075 952699 10065 1161
7035527 953189 10116 1168
7034998 953659 10164 1179
7034432 954165 10217 1186
7033912 954617 10278 1193
7033374 955086 10349 1191
7032878 955510 10412 1200
