Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 34.6724 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7218139 781595 256 10
7217618 782105 257 20
7217077 782636 258 29
7216526 783179 260 35
7216007 783691 261 41
7215465 784227 262 46
7214908 784777 263 52
7214421 785257 265 57
7213914 785760 267 59
7213409 786260 269 62
7212902 786761 272 65
7212370 787285 273 72
7211840 787809 277 74
7211358 788287 280 75
7210823 788815 283 79
7210276 789353 287 84
7209702 789916 292 90
7209200 790405 299 96
7208683 790914 307 96
7208167 791422 312 99
7207610 791967 318 105
7207087 792479 322 112
7206571 792984 327 118
7206049 793500 329 122
7205515 794027 334 124
7204949 794588 340 123
7204351 795178 349 122
7203839 795675 355 131
7203304 796204 364 128
7202754 796746 375 125
7202255 797236 379 130
7201669 797811 384 136
7201163 798310 388 139
7200667 798797 397 139
7200145 799311 399 145
7199587 799857 415 141
7199071 800359 421 149
7198550 800869 426 155
7198053 801356 434 157
7197512 801883 439 166
7196988 802386 447 179
7196431 802930 453 186
7195938 803415 470 177
7195420 803925 487 168
7194872 804468 499 161
7194336 804990 508 166
7193783 805529 515 173
7193272 806031 525 172
7192753 806534 535 178
7192250 807025 546 179
7191743 807525 555 177
7191221 808033 562 184
7190654 808588 571 187
7190139 809096 580 185
7189592 809633 585 190
7189101 810106 595 198
7188497 810694 605 204
7187998 811179 614 209
7187498 811666 623 213
7186971 812182 635 212
7186456 812691 644 209
7185927 813206 650 217
7185393 813728 665 214
7184872 814235 674 219
7184377 814712 684 227
7183825 815250 693 232
7183316 815742 705 237
7182816 816225 722 237
7182287 816741 730 242
7181769 817248 742 241
7181213 817793 754 240
7180672 818327 765 236
7180148 818837 775 240
7179542 819430 787 241
7178993 819968 802 237
7178468 820483 815 234
7177961 820972 830 237
7177478 821440 840 242
7176989 821915 852 244
7176489 822401 862 248
7175949 822926 879 246
7175456 823399 897 248
7174910 823935 914 241
7174396 824430 933 241
7173929 824885 946 240
7173369 825427 953 251
7172804 825968 968 260
7172265 826485 979 271
7171758 826968 994 280
7171256 827456 1006 282
7170704 827985 1019 292
7170174 828504 1032 290
7169665 828997 1048 290
7169163 829477 1064 296
7168648 829978 1077 297
7168131 830480 1093 296
7167566 831019 1111 304
7167077 831497 1129 297
7166589 831967 1145 299
7166053 832492 1171 284
7165535 832992 1191 282
7165000 833509 1210 281
7164453 834039 1216 292
7163950 834527 1229 294
7163402 835049 1246 303
7162904 835527 1261 308
7162394 836019 1278 309
7161914 836478 1298 310
7161448 836925 1313 314
7160920 837435 1333 312
7160348 837981 1347 324
7159805 838486 1368 341
7159320 838944 1381 355
7158776 839469 1401 354
7158219 840008 1417 356
7157685 840519 1435 361
7157184 841000 1457 359
7156665 841499 1473 363
7156184 841962 1486 368
7155670 842455 1501 374
7155155 842956 1520 369
7154621 843476 1545 358
7154064 844013 1568 355
7153582 844472 1581 365
7153091 844944 1594 371
7152579 845439 1615 367
7152036 845964 1647 353
7151474 846501 1673 352
7150931 847026 1693 350
7150404 847523 1712 361
7149899 848001 1726 374
7149383 848493 1743 381
7148840 849008 1761 391
7148288 849543 1779 390
7147796 850011 1795 398
7147280 850501 1822 397
7146748 851008 1851 393
7146252 851474 1870 404
7145731 851970 1886 413
7145191 852481 1912 416
7144677 852977 1928 418
7144111 853516 1951 422
7143510 854091 1975 424
7143016 854562 1999 423
7142521 855026 2011 442
7141998 855516 2031 455
7141503 855986 2054 457
7140982 856483 2076 459
7140472 856967 2098 463
7140000 857411 2119 470
7139456 857923 2142 479
7138947 858403 2156 494
7138425 858892 2174 509
7137848 859447 2206 499
7137355 859911 2228 506
