Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 30.3961 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7214910 784807 256 27
7214358 785345 257 40
7213822 785870 257 51
7213280 786400 259 61
7212774 786897 263 66
7212257 787403 267 73
7211723 787922 275 80
7211188 788448 279 85
7210664 788964 283 89
7210104 789514 283 99
7209602 790002 289 107
7209059 790534 297 110
7208522 791057 303 118
7207973 791596 314 117
7207478 792079 322 121
7206949 792597 327 127
7206405 793129 335 131
7205945 793578 340 137
7205428 794078 347 147
7204999 794493 357 151
7204479 794999 374 148
7203970 795490 380 160
7203441 796006 384 169
7202835 796597 391 177
7202318 797102 400 180
7201808 797600 409 183
7201339 798055 424 182
7200779 798601 432 188
7200268 799102 439 191
7199769 799591 444 196
7199256 800086 453 205
7198741 800587 457 215
7198228 801086 466 220
7197692 801599 478 231
7197182 802089 489 240
7196651 802604 497 248
7196126 803109 507 258
7195596 803620 517 267
7195059 804142 531 268
7194506 804672 547 275
7193912 805256 558 274
7193377 805779 571 273
7192832 806305 590 273
7192328 806788 601 283
7191799 807301 608 292
7191254 807824 620 302
7190744 808314 630 312
7190243 808785 644 328
7189713 809301 660 326
7189227 809769 687 317
7188726 810256 697 321
7188203 810759 705 333
7187652 811284 723 341
7187123 811795 746 336
7186606 812290 755 349
7186080 812791 771 358
7185583 813272 786 359
7185123 813713 809 355
7184584 814224 825 367
7184064 814726 840 370
7183561 815204 863 372
7183051 815677 885 387
7182512 816194 905 389
7182015 816666 929 390
7181476 817175 940 409
7180977 817643 961 419
7180440 818150 981 429
7179911 818648 997 444
7179335 819204 1018 443
7178804 819712 1037 447
7178339 820153 1052 456
7177842 820625 1075 458
7177367 821071 1103 459
7176795 821621 1128 456
7176256 822120 1145 479
7175727 822613 1173 487
7175198 823106 1202 494
7174704 823566 1228 502
7174178 824053 1252 517
7173690 824503 1275 532
7173155 825013 1300 532
7172584 825544 1331 541
7172056 826036 1360 548
7171586 826475 1384 555
7171072 826952 1413 563
7170525 827467 1444 564
7169997 827956 1481 566
7169504 828398 1517 581
7168979 828887 1548 586
7168440 829389 1566 605
7167940 829852 1591 617
7167446 830308 1615 631
7166950 830778 1641 631
7166440 831255 1674 631
7165942 831728 1700 630
7165420 832206 1736 638
7164927 832655 1780 638
7164380 833171 1817 632
7163838 833671 1851 640
7163284 834183 1881 652
7162766 834654 1914 666
7162284 835105 1942 669
7161783 835565 1978 674
7161240 836074 2014 672
7160727 836546 2046 681
7160249 836978 2090 683
7159714 837471 2119 696
7159213 837925 2152 710
7158685 838420 2183 712
7158148 838909 2214 729
7157618 839394 2250 738
7157114 839853 2290 743
7156594 840335 2316 755
7156111 840781 2343 765
7155611 841237 2373 779
7155085 841717 2411 787
7154617 842145 2448 790
7154107 842605 2486 802
7153591 843073 2528 808
7153021 843602 2570 807
7152462 844104 2627 807
7151939 844570 2663 828
7151390 845074 2703 833
7150877 845529 2737 857
7150369 845995 2771 865
7149892 846424 2820 864
7149427 846832 2861 880
7148868 847337 2897 898
7148342 847818 2943 897
7147793 848311 2992 904
7147320 848735 3038 907
7146775 849225 3076 924
7146243 849703 3126 928
7145667 850218 3175 940
7145163 850665 3214 958
7144634 851141 3258 967
7144090 851631 3299 980
7143542 852107 3348 1003
7143034 852555 3384 1027
7142512 853007 3431 1050
7142016 853450 3492 1042
7141495 853913 3556 1036
7140968 854373 3609 1050
7140444 854832 3660 1064
7139928 855294 3713 1065
7139387 855777 3766 1070
7138849 856253 3816 1082
7138300 856752 3860 1088
7137818 857166 3912 1104
7137290 857646 3980 1084
7136767 858115 4031 1087
7136209 858610 4094 1087
7135698 859070 4139 1093
7135195 859514 4189 1102
7134671 859981 4242 1106
7134152 860430 4291 1127
7133647 860869 4349 1135
7133125 861345 4396 1134
7132599 861807 4447 1147
7132083 862258 4509 1150
7131544 862728 4556 1172
7131003 863204 4605 1188
7130512 863638 4660 1190
7130001 864083 4720 1196
7129442 864561 4781 1216
7128899 865040 4827 1234
7128382 865491 4888 1239
7127872 865943 4959 1226
7127351 866387 5031 1231
7126774 866898 5103 1225
7126262 867347 5161 1230
7125756 867776 5219 1249
7125268 868189 5276 1267
7124756 868634 5333 1277
7124217 869111 5379 1293
7123684 869559 5444 1313
7123219 869952 5508 1321
7122705 870386 5561 1348
7122213 870797 5643 1347
7121689 871242 5711 1358
7121214 871633 5764 1389
7120671 872102 5838 1389
7120165 872528 5902 1405
7119714 872906 5958 1422
7119210 873331 6036 1423
7118683 873790 6098 1429
7118154 874247 6182 1417
7117632 874679 6231 1458
7117132 875103 6303 1462
7116645 875504 6376 1475
7116135 875944 6434 1487
7115675 876321 6493 1511
7115135 876778 6580 1507
7114594 877256 6664 1486
7114048 877717 6741 1494
7113520 878170 6797 1513
7113009 878602 6868 1521
7112513 879020 6940 1527
7112015 879437 7014 1534
7111463 879912 7082 1543
7110891 880405 7173 1531
7110384 880824 7248 1544
7109897 881209 7339 1555
7109337 881676 7428 1559
7108801 882127 7498 1574
7108327 882484 7583 1606
7107782 882917 7653 1648
7107267 883354 7739 1640
7106709 883819 7830 1642
7106189 884254 7891 1666
7105586 884757 7971 1686
7105066 885196 8038 1700
7104553 885609 8103 1735
7104105 885967 8190 1738
7103513 886466 8264 1757
7102988 886891 8349 1772
7102470 887312 8416 1802
7101918 887778 8478 1826
7101388 888201 8542 1869
7100911 888580 8629 1880
7100350 889031 8728 1891
7099835 889444 8827 1894
7099353 889821 8921 1905
7098795 890272 9025 1908
7098287 890686 9097 1930
7097787 891076 9193 1944
7097287 891483 9274 1956
7096797 891851 9364 1988
7096244 892308 9453 1995
7095698 892744 9529 2029
7095209 893127 9624 2040
7094697 893555 9723 2025
7094154 893992 9824 2030
7093645 894381 9933 2041
7093111 894805 10021 2063
7092598 895205 10104 2093
7092077 895629 10202 2092
7091517 896092 10301 2090
7091017 896482 10403 2098
7090463 896934 10513 2090
7089927 897356 10615 2102
7089409 897769 10701 2121
7088897 898171 10801 2131
7088369 898610 10880 2141
7087910 898967 10960 2163
7087385 899375 11062 2178
7086880 899764 11164 2192
7086433 900097 11269 2201
7085922 900499 11377 2202
7085435 900887 11464 2214
7084896 901283 11562 2259
7084348 901722 11672 2258
7083852 902111 11779 2258
7083292 902556 11880 2272
7082777 902942 11989 2292
7082304 903316 12079 2301
7081842 903682 12185 2291
7081262 904150 12276 2312
7080753 904548 12383 2316
7080238 904945 12473 2344
7079777 905288 12569 2366
7079264 905689 12695 2352
7078726 906104 12803 2367
7078185 906541 12917 2357
7077700 906917 13031 2352
7077204 907312 13133 2351
7076650 907748 13269 2333
7076136 908123 13376 2365
7075596 908517 13478 2409
7075095 908925 13578 2402
7074563 909324 13693 2420
7074127 909639 13814 2420
7073602 910037 13922 2439
7073054 910474 14033 2439
7072567 910867 14157 2409
7072087 911218 14277 2418
7071560 911637 14378 2425
7071069 911999 14496 2436
7070530 912419 14612 2439
7069980 912831 14724 2465
7069522 913183 14848 2447
7069005 913567 14966 2462
7068521 913937 15079 2463
7068027 914297 15203 2473
7067496 914692 15308 2504
7066956 915111 15423 2510
7066462 915458 15555 2525
7065952 915848 15662 2538
7065447 916231 15787 2535
7064978 916552 15901 2569
7064455 916969 15991 2585
7063915 917385 16102 2598
