Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 35.056 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7215775 783956 254 15
7215273 784456 252 19
7214742 784980 251 27
7214220 785495 251 34
7213648 786064 249 39
7213158 786549 248 45
7212646 787055 247 52
7212148 787541 248 63
7211634 788050 252 64
7211103 788572 253 72
7210563 789107 253 77
7210082 789585 257 76
7209603 790059 258 80
7209143 790511 262 84
7208668 790978 262 92
7208138 791498 262 102
7207582 792049 264 105
7207041 792583 269 107
7206502 793118 276 104
7205991 793623 283 103
7205449 794160 283 108
7204989 794615 287 109
7204520 795077 289 114
7203988 795604 293 115
7203447 796142 291 120
7202896 796691 292 121
7202333 797252 297 118
7201830 797751 302 117
7201324 798250 304 122
7200833 798731 307 129
7200266 799294 309 131
7199735 799817 311 137
7199251 800298 308 143
7198781 800767 312 140
7198264 801279 315 142
7197757 801784 314 145
7197247 802287 318 148
7196738 802794 323 145
7196217 803307 327 149
7195720 803796 333 151
7195184 804318 338 160
7194662 804831 343 164
7194173 805319 349 159
7193641 805844 352 163
7193153 806327 356 164
7192605 806872 363 160
7192030 807445 364 161
7191486 807985 367 162
7190960 808507 373 160
7190482 808984 379 155
7189950 809503 379 168
7189436 810013 381 170
7188923 810522 384 171
7188361 811079 396 164
7187832 811604 403 161
7187284 812147 406 163
7186810 812610 413 167
7186271 813147 409 173
7185774 813646 412 168
7185253 814166 416 165
7184775 814642 420 163
7184248 815171 426 155
7183727 815682 435 156
7183224 816180 433 163
7182709 816689 433 169
7182218 817174 439 169
7181705 817686 444 165
7181199 818189 446 166
7180692 818695 444 169
7180122 819255 451 172
7179593 819775 458 174
7179073 820290 464 173
7178549 820802 478 171
7178032 821310 484 174
7177531 821808 483 178
7176980 822354 484 182
7176485 822844 484 187
7175962 823360 486 192
7175430 823884 491 195
7174946 824357 502 195
7174471 824824 510 195
7173956 825333 519 192
7173446 825842 522 190
7172933 826352 525 190
7172447 826833 531 189
7171942 827334 538 186
7171390 827886 540 184
7170879 828394 544 183
7170352 828917 551 180
7169831 829428 560 181
7169292 829963 568 177
7168771 830481 571 177
7168225 831027 570 178
7167740 831504 573 183
7167240 832000 576 184
7166724 832512 581 183
7166155 833076 589 180
7165591 833636 594 179
7165051 834172 593 184
7164549 834671 598 182
7164068 835150 597 185
7163542 835668 599 191
7162993 836200 607 200
7162468 836723 609 200
7161945 837240 612 203
7161452 837724 617 207
7160971 838194 622 213
7160466 838689 628 217
7159905 839245 628 222
7159385 839761 627 227
7158856 840286 632 226
7158355 840781 637 227
7157836 841297 639 228
7157340 841789 639 232
7156825 842301 643 231
7156313 842813 642 232
7155817 843307 646 230
7155293 843824 652 231
7154781 844325 667 227
7154285 844813 672 230
7153753 845344 678 225
7153250 845845 685 220
7152732 846356 692 220
7152234 846848 698 220
7151725 847360 699 216
7151247 847834 705 214
7150734 848335 716 215
7150188 848879 716 217
7149682 849372 715 231
7149158 849885 722 235
7148653 850379 733 235
7148104 850920 739 237
7147577 851441 752 230
7147094 851922 758 226
7146563 852448 763 226
7145994 853014 764 228
7145455 853540 767 238
7144990 854006 774 230
7144471 854521 777 231
7143961 855021 779 239
7143465 855517 789 229
7142903 856069 800 228
7142399 856566 796 239
7141938 857022 797 243
7141461 857499 799 241
7140948 858006 803 243
7140439 858510 809 242
7139882 859061 821 236
7139407 859524 829 240
7138913 860009 833 245
7138369 860543 845 243
7137859 861046 851 244
7137309 861590 858 243
7136825 862068 862 245
7136323 862567 866 244
7135738 863144 874 244
7135276 863611 870 243
7134795 864080 879 246
7134300 864568 889 243
7133770 865102 888 240
7133245 865628 882 245
7132753 866118 889 240
7132248 866621 901 230
7131717 867151 901 231
