Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 33.5737 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7216449 783286 256 9
7215917 783805 256 22
7215367 784339 256 38
7214799 784894 257 50
7214296 785388 257 59
7213744 785931 261 64
7213183 786483 263 71
7212670 786980 269 81
7212109 787533 274 84
7211561 788072 276 91
7210982 788639 279 100
7210415 789195 282 108
7209797 789802 288 113
7209252 790340 292 116
7208720 790862 295 123
7208190 791378 299 133
7207658 791895 305 142
7207131 792411 311 147
7206592 792939 320 149
7206070 793446 336 148
7205571 793935 340 154
7205011 794484 347 158
7204434 795051 353 162
7203909 795563 364 164
7203328 796123 372 177
7202826 796614 383 177
7202272 797153 391 184
7201743 797667 398 192
7201143 798251 406 200
7200564 798813 420 203
7199994 799374 431 201
7199450 799903 442 205
7198859 800477 456 208
7198349 800977 463 211
7197883 801434 470 213
7197343 801953 480 224
7196823 802460 494 223
7196268 802998 502 232
7195728 803520 514 238
7195214 804009 520 257
7194645 804569 532 254
7194117 805088 539 256
7193554 805630 557 259
7192983 806186 574 257
7192460 806693 585 262
7191911 807224 603 262
7191371 807753 609 267
7190808 808294 620 278
7190285 808801 631 283
7189752 809317 645 286
7189181 809872 659 288
7188672 810361 669 298
7188138 810881 687 294
7187589 811415 699 297
7187013 811972 712 303
7186459 812505 721 315
7185915 813028 737 320
7185378 813540 757 325
7184852 814040 772 336
7184281 814591 780 348
7183764 815084 795 357
7183237 815595 817 351
7182682 816136 838 344
7182168 816619 859 354
7181546 817226 874 354
7181007 817745 887 361
7180472 818256 901 371
7179921 818785 921 373
7179395 819287 940 378
7178857 819808 969 366
7178298 820352 981 369
7177745 820878 988 389
7177146 821446 1019 389
7176608 821962 1033 397
7176103 822441 1049 407
7175527 822999 1065 409
7175017 823487 1079 417
7174482 823988 1094 436
7173924 824518 1112 446
7173426 824998 1134 442
7172867 825524 1151 458
7172326 826041 1171 462
7171723 826621 1191 465
7171160 827155 1215 470
7170570 827718 1233 479
7170058 828205 1254 483
7169501 828731 1280 488
7168976 829228 1297 499
7168441 829741 1320 498
7167928 830221 1346 505
7167393 830722 1370 515
7166850 831240 1391 519
7166307 831743 1418 532
7165757 832247 1445 551
7165188 832785 1473 554
7164615 833330 1506 549
7164023 833886 1531 560
7163506 834371 1561 562
7162988 834861 1582 569
7162445 835374 1595 586
7161940 835839 1616 605
7161364 836391 1651 594
7160793 836930 1682 595
7160267 837419 1707 607
7159683 837968 1733 616
7159139 838475 1753 633
7158635 838950 1781 634
7158103 839456 1798 643
7157570 839962 1827 641
7157045 840458 1853 644
7156507 840962 1888 643
7155943 841503 1927 627
7155372 842040 1960 628
7154882 842489 1986 643
7154362 842974 2009 655
7153819 843480 2047 654
7153288 843969 2073 670
7152735 844479 2107 679
7152233 844932 2131 704
7151684 845443 2168 705
7151080 846006 2194 720
7150535 846514 2230 721
7150028 846985 2265 722
7149467 847497 2304 732
7148887 848036 2337 740
7148341 848548 2370 741
7147806 849046 2402 746
7147230 849593 2443 734
7146695 850101 2474 730
7146157 850593 2500 750
7145597 851115 2536 752
7145073 851600 2570 757
7144494 852135 2601 770
7143920 852669 2633 778
7143356 853181 2667 796
7142809 853679 2694 818
7142268 854176 2732 824
7141729 854672 2773 826
7141203 855151 2817 829
7140657 855660 2846 837
7140137 856136 2883 844
7139603 856620 2928 849
7139043 857126 2979 852
7138497 857635 3011 857
7137917 858166 3061 856
7137363 858675 3101 861
7136866 859134 3135 865
7136333 859626 3168 873
7135796 860108 3203 893
7135216 860628 3253 903
7134629 861170 3303 898
7134097 861656 3345 902
7133533 862160 3391 916
7132978 862660 3441 921
7132420 863163 3485 932
7131874 863669 3522 935
7131324 864173 3557 946
7130752 864699 3599 950
7130197 865200 3641 962
7129653 865699 3688 960
7129131 866162 3739 968
7128578 866664 3772 986
7128020 867170 3824 986
7127476 867649 3860 1015
7126904 868170 3909 1017
7126364 868650 3946 1040
7125823 869122 3991 1064
7125229 869651 4032 1088
7124687 870139 4073 1101
7124104 870691 4120 1085
7123611 871140 4175 1074
7123017 871671 4219 1093
7122459 872166 4257 1118
7121884 872686 4305 1125
7121346 873154 4369 1131
7120760 873692 4425 1123
7120197 874218 4482 1103
7119663 874693 4530 1114
7119067 875234 4579 1120
7118507 875728 4624 1141
7117971 876202 4670 1157
7117456 876659 4739 1146
7116911 877149 4788 1152
7116377 877609 4833 1181
7115830 878094 4894 1182
7115309 878527 4946 1218
7114729 879052 5010 1209
7114164 879559 5076 1201
7113582 880066 5126 1226
7113025 880554 5197 1224
7112455 881061 5268 1216
7111901 881546 5323 1230
7111437 881935 5392 1236
7110912 882395 5452 1241
7110407 882843 5497 1253
7109854 883331 5569 1246
7109246 883869 5622 1263
7108682 884354 5672 1292
7108133 884845 5747 1275
7107642 885275 5821 1262
7107093 885746 5874 1287
7106546 886228 5926 1300
7105985 886733 5997 1285
7105444 887196 6069 1291
7104899 887685 6118 1298
7104351 888145 6176 1328
7103791 888633 6243 1333
7103206 889141 6298 1355
7102738 889532 6364 1366
7102152 890058 6438 1352
7101620 890515 6506 1359
7101097 890963 6574 1366
7100546 891443 6619 1392
7099983 891929 6677 1411
7099421 892404 6750 1425
7098838 892908 6822 1432
7098348 893328 6891 1433
7097790 893808 6948 1454
7097283 894240 7003 1474
7096750 894685 7086 1479
7096214 895152 7144 1490
7095650 895649 7218 1483
7095094 896134 7282 1490
7094534 896620 7353 1493
7094012 897077 7437 1474
7093483 897521 7499 1497
7092925 898000 7568 1507
7092369 898483 7652 1496
7091792 898987 7730 1491
7091280 899426 7788 1506
7090654 899963 7871 1512
7090122 900418 7937 1523
7089609 900849 7998 1544
7089077 901287 8078 1558
7088518 901763 8136 1583
7087995 902210 8215 1580
7087391 902731 8283 1595
7086866 903172 8349 1613
7086329 903636 8426 1609
7085797 904085 8480 1638
7085214 904562 8545 1679
7084654 905024 8613 1709
7084089 905501 8687 1723
7083552 905949 8754 1745
7083017 906381 8860 1742
7082496 906816 8929 1759
7081970 907253 9001 1776
7081411 907725 9084 1780
7080855 908192 9168 1785
7080307 908642 9263 1788
7079799 909041 9346 1814
7079273 909466 9418 1843
7078713 909922 9490 1875
7078145 910391 9580 1884
7077651 910789 9651 1909
7077118 911229 9717 1936
7076584 911675 9803 1938
7076013 912171 9876 1940
7075476 912594 9977 1953
7074946 913047 10060 1947
7074418 913474 10146 1962
7073881 913904 10242 1973
7073329 914365 10331 1975
7072814 914785 10425 1976
7072269 915224 10508 1999
7071763 915616 10601 2020
7071243 916064 10683 2010
7070750 916432 10772 2046
7070246 916849 10881 2024
7069676 917303 10984 2037
7069120 917754 11086 2040
7068580 918194 11193 2033
7068040 918629 11292 2039
7067502 919074 11383 2041
7066978 919501 11465 2056
7066406 919974 11569 2051
7065853 920415 11658 2074
7065258 920911 11762 2069
7064710 921326 11853 2111
7064169 921747 11957 2127
7063683 922123 12051 2143
7063121 922583 12157 2139
7062593 923003 12255 2149
7062100 923390 12355 2155
7061591 923786 12460 2163
7061038 924223 12558 2181
7060476 924679 12664 2181
7059914 925156 12770 2160
7059363 925609 12868 2160
7058821 926053 12952 2174
7058319 926460 13038 2183
7057782 926884 13140 2194
7057255 927307 13224 2214
7056725 927725 13312 2238
7056192 928141 13422 2245
7055642 928583 13496 2279
7055145 928973 13621 2261
7054571 929460 13714 2255
7054042 929867 13820 2271
7053529 930256 13909 2306
7052987 930676 13999 2338
7052485 931063 14103 2349
7051940 931516 14200 2344
7051420 931929 14295 2356
7050875 932356 14401 2368
7050304 932803 14505 2388
7049800 933187 14603 2410
7049224 933633 14718 2425
7048683 934062 14819 2436
7048126 934500 14930 2444
7047604 934894 15032 2470
7047057 935305 15158 2480
7046497 935756 15254 2493
7046027 936117 15359 2497
7045496 936516 15463 2525
7044933 936961 15569 2537
7044400 937371 15680 2549
7043861 937787 15800 2552
7043305 938229 15922 2544
7042795 938602 16045 2558
7042243 939033 16148 2576
7041646 939515 16267 2572
7041130 939906 16395 2569
7040607 940320 16517 2556
7040066 940724 16627 2583
7039523 941137 16756 2584
7039024 941526 16887 2563
7038488 941929 16983 2600
7037946 942338 17096 2620
7037368 942763 17199 2670
7036795 943207 17321 2677
7036253 943621 17440 2686
7035745 943992 17564 2699
7035231 944389 17664 2716
7034707 944785 17766 2742
7034185 945178 17881 2756
7033640 945615 18005 2740
7033118 946013 18113 2756
7032581 946415 18232 2772
7032075 946782 18350 2793
7031533 947197 18480 2790
7031068 947552 18603 2777
7030498 948006 18715 2781
7029949 948421 18842 2788
7029410 948825 18984 2781
7028831 949261 19121 2787
7028309 949668 19257 2766
7027771 950078 19372 2779
7027197 950521 19516 2766
7026659 950913 19645 2783
7026090 951347 19750 2813
7025564 951738 19847 2851
7024996 952193 19985 2826
7024492 952555 20092 2861
7023955 952984 20214 2847
7023423 953394 20365 2818
7022904 953780 20475 2841
7022378 954181 20583 2858
7021838 954581 20726 2855
7021281 955014 20848 2857
7020733 955432 20972 2863
7020199 955808 21098 2895
7019690 956166 21207 2937
7019118 956610 21354 2918
7018521 957077 21495 2907
7018038 957425 21623 2914
7017484 957844 21750 2922
7016963 958245 21863 2929
7016405 958658 21993 2944
7015878 959018 22122 2982
7015352 959420 22243 2985
7014875 959777 22354 2994
7014352 960145 22487 3016
7013817 960522 22630 3031
7013280 960913 22761 3046
7012777 961268 22902 3053
7012266 961646 23022 3066
7011740 962020 23157 3083
7011259 962348 23274 3119
7010768 962691 23420 3121
7010213 963111 23536 3140
7009748 963451 23685 3116
7009183 963890 23825 3102
7008684 964262 23959 3095
7008161 964647 24103 3089
7007647 965033 24208 3112
7007145 965396 24330 3129
7006627 965786 24446 3141
7006088 966166 24607 3139
7005500 966593 24760 3147
7004946 967010 24900 3144
7004453 967369 25018 3160
7003922 967771 25169 3138
7003407 968140 25313 3140
7002869 968536 25461 3134
7002324 968970 25602 3104
7001780 969348 25723 3149
7001215 969767 25859 3159
7000700 970117 25987 3196
7000224 970441 26131 3204
6999742 970767 26283 3208
6999222 971144 26427 3207
6998705 971535 26534 3226
6998197 971890 26681 3232
6997701 972234 26819 3246
6997136 972648 26974 3242
6996631 973007 27113 3249
6996093 973397 27250 3260
6995574 973760 27384 3282
6995039 974150 27517 3294
6994541 974492 27659 3308
6994024 974863 27780 3333
6993521 975207 27940 3332
6993008 975563 28088 3341
6992468 975935 28247 3350
6992012 976230 28384 3374
6991456 976627 28506 3411
6990922 977007 28652 3419
6990406 977377 28822 3395
