Successfully ran 7300 iterations with 128 processors and 1 threads per processor in 33.3907 seconds 
EMPTY HUMANS ZOMBIES INFECTED
7214921 784810 255 14
7214409 785317 255 19
7213887 785832 256 25
7213373 786335 257 35
7212857 786843 258 42
7212361 787331 259 49
7211886 787803 260 51
7211318 788369 260 53
7210820 788858 264 58
7210323 789351 265 61
7209760 789906 270 64
7209298 790359 273 70
7208778 790874 274 74
7208265 791374 281 80
7207755 791875 285 85
7207211 792411 288 90
7206698 792919 292 91
7206186 793427 295 92
7205623 793980 305 92
7205139 794454 313 94
7204598 794988 317 97
7204119 795458 320 103
7203630 795940 323 107
7203058 796504 328 110
7202520 797039 330 111
7202006 797544 334 116
7201524 798017 340 119
7201017 798514 346 123
7200505 799017 355 123
7199992 799522 365 121
7199490 800017 369 124
7198957 800536 374 133
7198402 801080 377 141
7197945 801529 386 140
7197459 802002 392 147
7196877 802576 398 149
7196397 803041 403 159
7195879 803554 410 157
7195446 803982 415 157
7194947 804466 423 164
7194473 804930 428 169
7193946 805446 437 171
7193421 805964 453 162
7192903 806466 463 168
7192414 806947 470 169
7191956 807395 484 165
7191408 807930 491 171
7190945 808384 504 167
7190415 808901 512 172
7189904 809400 519 177
7189378 809914 531 177
7188853 810426 542 179
7188368 810902 547 183
7187891 811359 555 195
7187392 811845 563 200
7186929 812296 574 201
7186422 812796 584 198
7185922 813290 596 192
7185407 813796 609 188
7184904 814285 620 191
7184432 814749 631 188
7183947 815226 638 189
7183463 815699 645 193
7182975 816176 654 195
7182508 816635 656 201
7181975 817157 661 207
7181429 817689 667 215
7180932 818169 691 208
7180452 818632 695 221
7179956 819110 703 231
7179462 819591 714 233
7178961 820067 727 245
7178459 820557 740 244
7177946 821059 755 240
7177400 821592 768 240
7176887 822092 777 244
7176361 822601 791 247
7175851 823099 798 252
7175401 823533 805 261
7174881 824040 817 262
7174350 824563 830 257
7173897 825003 846 254
7173398 825489 857 256
7172853 826025 869 253
7172364 826492 885 259
7171888 826954 901 257
7171349 827481 913 257
7170850 827962 932 256
7170323 828479 936 262
7169799 828988 952 261
7169275 829497 965 263
7168803 829949 984 264
7168315 830422 994 269
7167830 830885 1014 271
7167360 831341 1024 275
7166840 831844 1036 280
7166344 832325 1053 278
7165842 832814 1065 279
7165373 833273 1076 278
7164876 833753 1088 283
7164384 834232 1105 279
7163900 834695 1119 286
7163389 835187 1135 289
7162845 835710 1145 300
7162365 836167 1157 311
7161896 836615 1167 322
7161406 837094 1178 322
7160897 837584 1185 334
7160399 838075 1195 331
7159833 838625 1217 325
7159304 839137 1231 328
7158871 839557 1246 326
7158344 840070 1262 324
7157864 840523 1270 343
7157402 840963 1288 347
7156896 841447 1303 354
7156341 841989 1313 357
7155861 842451 1332 356
7155326 842980 1350 344
7154869 843423 1370 338
7154370 843907 1387 336
7153862 844391 1405 342
7153390 844838 1426 346
7152862 845352 1438 348
7152343 845847 1458 352
7151829 846345 1473 353
7151326 846824 1490 360
7150796 847341 1501 362
7150281 847839 1524 356
7149795 848304 1543 358
7149276 848805 1560 359
7148774 849286 1571 369
7148311 849732 1583 374
7147811 850213 1599 377
7147319 850683 1617 381
7146825 851152 1632 391
7146333 851625 1655 387
7145812 852131 1674 383
7145298 852626 1686 390
7144818 853086 1702 394
7144317 853570 1720 393
7143767 854102 1739 392
7143306 854549 1762 383
7142807 855031 1778 384
7142346 855470 1789 395
7141850 855943 1813 394
7141368 856397 1831 404
7140863 856884 1848 405
7140399 857323 1864 414
7139824 857885 1883 408
7139331 858353 1903 413
7138839 858816 1922 423
7138321 859305 1931 443
7137755 859847 1962 436
7137267 860317 1984 432
7136744 860816 2003 437
7136222 861319 2019 440
7135736 861786 2037 441
7135211 862283 2055 451
7134734 862741 2076 449
7134233 863215 2090 462
7133708 863722 2121 449
7133197 864206 2148 449
7132738 864637 2164 461
7132253 865099 2181 467
7131752 865566 2205 477
7131271 866018 2230 481
7130734 866538 2248 480
7130216 867042 2269 473
7129710 867533 2296 461
7129192 868015 2315 478
7128680 868500 2338 482
7128167 868995 2366 472
7127680 869461 2392 467
7127116 869996 2411 477
7126583 870509 2436 472
7126115 870953 2456 476
